asset_price,demand_at_base_price,demand_at_base_price_lower_i0,asset_supply
0.548107766557988,1.7454545454545454,1.9019982054120914,0.78
0.5543675628868823,1.7212285456187897,1.8760045490727502,0.78
0.5606273592157767,1.6975435462259936,1.8505913674171808,0.78
0.566887155544671,1.674381625441696,1.825739430939518,0.78
0.5731469518735653,1.6517256443861947,1.801430350217155,0.78
0.5794067482024596,1.6295592048401037,1.7776465305302802,0.78
0.585666544531354,1.6078666096622487,1.7543711293916493,0.78
0.5919263408602483,1.5866328257191202,1.7315880167711797,0.78
0.5981861371891427,1.5658434491419002,1.7092817378179437,0.78
0.604445933518037,1.5454846727423364,1.687437477898537,0.78
0.6107057298469314,1.525543255432554,1.6660410297855957,0.78
0.6169655261758257,1.5060064935064934,1.6450787628437777,0.78
0.62322532250472,1.4868621936520694,1.6245375940727473,0.78
0.6294851188336144,1.4680986475735878,1.604404960877911,0.78
0.6357449151625088,1.4497046081134302,1.58466879544981,0.78
0.642004711491403,1.4316692667706707,1.5653175006423823,0.78
0.6482645078202973,1.4139822325222096,1.546339927248771,0.78
0.6545243041491917,1.3966335118592195,1.5277253525811278,0.78
0.660784100478086,1.3796134899583177,1.5094634602679304,0.78
0.6670438968069804,1.3629129129129127,1.4915443211888393,0.78
0.6733036931358747,1.3465228709557457,1.4739583754730636,0.78
0.6795634894647691,1.3304347826086955,1.4566964154926558,0.78
0.6858232857936634,1.3146403797006208,1.4397495697871736,0.78
0.6920830821225576,1.2991316931982635,1.4231092878607339,0.78
0.698342878451452,1.2839010397992112,1.4067673257967257,0.78
0.7046026747803464,1.2689410092395164,1.3907157326393276,0.78
0.7108624711092407,1.2542444522719267,1.3749468374945644,0.78
0.717122267438135,1.239804469273743,1.3594532373069372,0.78
0.7233820637670294,1.2256143994461752,1.3442277852707054,0.78
0.7296418600959237,1.2116678105696637,1.3292635798377037,0.78
0.7359016564248181,1.1979584892820687,1.3145539542861748,0.78
0.7421614527537124,1.1844804318488529,1.3000924668174993,0.78
0.7484212490826068,1.1712278353964536,1.2858728911499056,0.78
