output,interest_rate_IR,interest_rate_IR_lower_i0
3.0,0.09190799999999998,0.080408
3.0452261306532664,0.09216319597989948,0.08066319597989949
3.090452261306533,0.09241839195979898,0.08091839195979898
3.135678391959799,0.09267358793969847,0.08117358793969848
3.180904522613065,0.09292878391959797,0.08142878391959799
3.2261306532663316,0.09318397989949748,0.08168397989949748
3.271356783919598,0.09343917587939697,0.08193917587939697
3.3165829145728645,0.09369437185929648,0.0821943718592965
3.3618090452261304,0.09394956783919596,0.08244956783919598
3.407035175879397,0.09420476381909546,0.08270476381909546
3.4522613065326633,0.09445995979899496,0.08295995979899497
3.4974874371859297,0.09471515577889447,0.08321515577889449
3.542713567839196,0.09497035175879394,0.08347035175879396
3.5879396984924625,0.09522554773869345,0.08372554773869345
3.633165829145729,0.09548074371859296,0.08398074371859296
3.678391959798995,0.09573593969849245,0.08423593969849245
3.7236180904522613,0.09599113567839193,0.08449113567839195
3.7688442211055277,0.09624633165829145,0.08474633165829146
3.8140703517587937,0.09650152763819093,0.08500152763819094
3.85929648241206,0.09675672361809043,0.08525672361809043
3.9045226130653266,0.09701191959798992,0.08551191959798994
3.949748743718593,0.09726711557788943,0.08576711557788944
3.9949748743718594,0.09752231155778893,0.08602231155778893
4.040201005025126,0.09777750753768844,0.08627750753768844
4.085427135678392,0.09803270351758792,0.08653270351758793
4.130653266331659,0.09828789949748744,0.08678789949748744
4.175879396984925,0.09854309547738693,0.08704309547738694
4.221105527638191,0.09879829145728641,0.08729829145728642
4.266331658291458,0.09905348743718591,0.08755348743718593
4.311557788944723,0.09930868341708543,0.08780868341708543
4.35678391959799,0.09956387939698491,0.08806387939698491
4.402010050251256,0.0998190753768844,0.08831907537688441
4.447236180904523,0.1000742713567839,0.08857427135678392
4.492462311557789,0.10032946733668342,0.08882946733668343
4.5376884422110555,0.1005846633165829,0.08908466331658291
4.582914572864322,0.1008398592964824,0.0893398592964824
4.628140703517587,0.10109505527638189,0.08959505527638191
4.673366834170855,0.1013502512562814,0.0898502512562814
4.71859296482412,0.1016054472361809,0.0901054472361809
4.763819095477387,0.10186064321608039,0.0903606432160804
4.809045226130653,0.10211583919597989,0.09061583919597989
4.8542713567839195,0.1023710351758794,0.0908710351758794
4.899497487437186,0.10262623115577889,0.09112623115577889
4.944723618090452,0.10288142713567837,0.09138142713567837
4.989949748743719,0.10313662311557788,0.09163662311557788
5.035175879396985,0.10339181909547739,0.09189181909547739
5.080402010050252,0.10364701507537688,0.09214701507537688
5.125628140703517,0.10390221105527636,0.09240221105527636
5.170854271356784,0.10415740703517587,0.09265740703517587
5.21608040201005,0.10441260301507535,0.09291260301507537
5.261306532663317,0.10466779899497487,0.09316779899497488
5.306532663316583,0.10492299497487435,0.09342299497487436
5.351758793969849,0.10517819095477386,0.09367819095477387
5.396984924623116,0.10543338693467334,0.09393338693467336
5.442211055276382,0.10568858291457287,0.09418858291457287
5.4874371859296485,0.10594377889447235,0.09444377889447235
5.532663316582915,0.10619897487437185,0.09469897487437186
5.577889447236181,0.10645417085427136,0.09495417085427137
5.623115577889447,0.10670936683417082,0.09520936683417083
